Unspecified,3855
changed,1
Changing,2875
Chevron,1380
Cigar,2844
Circle,12225
Cone,494
Crescent,2
Cross,367
Cylinder,1829
Delta,8
Diamond,1759
Disk,7302
Dome,1
Egg,1055
Fireball,8926
Flare,1
Flash,2112
Formation,3653
Hexagon,1
Light,23985
Other,8163
Oval,5273
pyramid,1
Rectangle,1987
Round,2
Sphere,7784
Teardrop,1057
Triangle,10994
TRIANGULAR,1
Unknown,8278
